Time(s),I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
1.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001100785367136476,0.0,0.0,0.0
1.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011112239599235867,0.0,0.0,0.0
1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011215021080475211,0.0,0.0,0.0
1.592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011316187018840023,0.0,0.0,0.0
1.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011415726332036336,0.0,0.0,0.0
1.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011513627951743068,0.0,0.0,0.0
1.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011609880823635762,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011704473907409912,0.0,0.0,0.0
1.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011797396176803998,0.0,0.0,0.0
1.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001188863661962213,0.0,0.0,0.0
1.606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011978184237756346,0.0,0.0,0.0
1.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012066028047208542,0.0,0.0,0.0
1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012152157078112122,0.0,0.0,0.0
1.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012236560374753276,0.0,0.0,0.0
1.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012319226995591874,0.0,0.0,0.0
1.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012400146013282108,0.0,0.0,0.0
1.618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012479306514692808,0.0,0.0,0.0
1.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012556697600927449,0.0,0.0,0.0
1.622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012632308387343736,0.0,0.0,0.0
1.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012706128003573051,0.0,0.0,0.0
1.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012778145593539518,0.0,0.0,0.0
1.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001284835031547877,0.0,0.0,0.0
1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012916731341956348,0.0,0.0,0.0
1.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001298327785988587,0.0,0.0,0.0
1.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013047979070546839,0.0,0.0,0.0
1.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013110824189602084,0.0,0.0,0.0
1.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001317180244711495,0.0,0.0,0.0
1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013230903087566147,0.0,0.0,0.0
1.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001328811536987038,0.0,0.0,0.0
1.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013343428567392716,0.0,0.0,0.0
1.646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013396831967964784,0.0,0.0,0.0
1.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013448314873900794,0.0,0.0,0.0
1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013497866602013395,0.0,0.0,0.0
1.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013545476483629358,0.0,0.0,0.0
1.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013591133864604991,0.0,0.0,0.0
1.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013634828105341175,0.0,0.0,0.0
1.658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001367654858079802,0.0,0.0,0.0
1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013716284680508873,0.0,0.0,0.0
1.662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001375402580859376,0.0,0.0,0.0
1.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013789761383772253,0.0,0.0,0.0
1.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013823480839375891,0.0,0.0,0.0
1.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013855173623360446,0.0,0.0,0.0
1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013884829198318395,0.0,0.0,0.0
1.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001391243704149195,0.0,0.0,0.0
1.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013937986644787016,0.0,0.0,0.0
1.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013961467514788156,0.0,0.0,0.0
1.678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013982869172774327,0.0,0.0,0.0
1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014002181154734825,0.0,0.0,0.0
1.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014019393011384385,0.0,0.0,0.0
1.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014034494308176229,0.0,0.0,0.0
1.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001404747462531172,0.0,0.0,0.0
1.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014058323557745857,0.0,0.0,0.0
1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014067030715188432,0.0,0.0,0.0
1.692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001407358572210213,0.0,0.0,0.0
1.694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014077978217699946,0.0,0.0,0.0
1.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001408019785594573,0.0,0.0,0.0
1.698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014080234305562335,0.0,0.0,0.0
1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014078077250051179,0.0,0.0,0.0
1.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014073716387725665,0.0,0.0,0.0
1.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014067141431757372,0.0,0.0,0.0
1.706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014058342110229867,0.0,0.0,0.0
